Timestamp,ChargerID,CellID,ChargingStage,PackVoltage_V,CellVoltage_V,DemandVoltage_V,ChargeCurrent_A,DemandCurrent_A,SOC_%,MaxTemp_C,MinTemp_C,AvgTemp_C,AmbientTemp_C,InternalResistance_mOhm,StateOfHealth_%,VibrationLevel_mg,MoistureDetected,BMS_Status,ChargePower_kW,Pressure_kPa,TR_Probability,EventFlag,Notes
9/3/2025 16:20,CH3,CELL3,Recharge,399.92,4.98,400.11,40.7,40.03,28.3,53.5,49.9,51.997,31.88,9.29,94.38,27.62,True,Critical,16.28,93.28,0.653,Warning,Moisture detected
9/3/2025 16:21,CH10,CELL2,Parameter_Config,387.34,4.815,388.42,10.35,9.97,49.33,44.66,41.68,43.162,33.05,4.57,86.08,42.59,False,OK,4.01,105.85,0.315,Watch,Normal operation
9/3/2025 16:22,CH5,CELL7,Bulk,337.98,4.177,337.96,20.75,21.0,71.32,36.68,34.33,35.176,27.81,3.54,80.37,15.83,False,OK,7.01,94.11,0.254,Watch,Normal operation
9/3/2025 16:23,CH8,CELL9,Parameter_Config,387.24,4.794,387.55,105.66,105.39,59.75,51.85,50.62,50.353,24.29,6.61,96.92,29.08,False,Warning,40.92,95.13,0.392,Watch,Normal operation
9/3/2025 16:24,CH3,CELL34,Handshake,348.85,4.366,350.27,49.41,49.01,34.33,51.91,49.44,50.414,30.79,9.73,93.45,36.93,True,Warning,17.24,94.81,0.654,Warning,Moisture detected
9/3/2025 16:25,CH10,CELL19,Bulk,385.5,4.798,387.26,39.3,39.18,92.45,44.18,42.29,42.677,28.33,6.2,92.74,13.36,False,OK,15.15,97.6,0.345,Watch,Normal operation
9/3/2025 16:26,CH9,CELL15,Parameter_Config,311.02,3.922,311.09,65.09,64.31,14.07,43.13,39.39,41.627,23.13,7.12,91.87,39.49,False,OK,20.25,105.4,0.358,Watch,Normal operation
9/3/2025 16:27,CH5,CELL44,End_Of_Charge,371.68,4.63,372.31,98.92,99.7,30.09,47.22,45.65,45.716,26.53,1.64,90.98,3.88,True,OK,36.77,90.8,0.469,Watch,Moisture detected
9/3/2025 16:28,CH8,CELL47,Recharge,305.92,3.814,306.71,68.5,69.07,36.51,50.92,48.78,49.416,22.08,14.86,86.5,8.73,False,OK,20.96,110.54,0.552,Warning,High internal resistance
9/3/2025 16:29,CH3,CELL45,End_Of_Charge,324.55,4.043,325.37,47.87,47.96,95.04,46.14,44.32,44.639,27.5,7.52,85.96,35.85,True,OK,15.54,117.66,0.581,Warning,Moisture detected
9/3/2025 16:30,CH9,CELL43,Bulk,309.69,3.891,309.38,0.48,0.21,11.58,34.67,31.91,33.167,20.99,7.34,84.73,12.54,False,OK,0.15,92.28,0.32,Watch,Normal operation
9/3/2025 16:31,CH4,CELL39,Parameter_Config,376.67,4.737,378.63,83.01,83.09,17.1,53.23,49.77,51.725,29.8,8.63,87.05,5.64,False,Warning,31.27,116.18,0.439,Watch,Normal operation
9/3/2025 16:32,CH3,CELL45,Recharge,366.32,4.568,365.34,1.49,0.98,86.24,47.64,44.08,46.139,30.25,10.68,81.33,14.98,False,Warning,0.55,106.23,0.452,Watch,High internal resistance
9/3/2025 16:33,CH6,CELL38,End_Of_Charge,373.69,4.624,371.81,75.07,74.74,52.5,51.05,47.73,49.546,26.62,8.51,92.69,11.87,False,OK,28.05,113.89,0.426,Watch,Normal operation
9/3/2025 16:34,CH3,CELL4,Parameter_Config,356.44,4.425,355.94,120.94,121.49,62.91,59.48,57.89,57.976,30.29,7.39,89.46,47.09,True,OK,43.11,99.36,0.645,Warning,Moisture detected
9/3/2025 16:35,CH9,CELL19,Handshake,368.38,4.629,366.65,30.02,30.37,23.89,54.76,53.71,53.26,34.56,11.35,81.4,22.57,False,Critical,11.06,104.14,0.501,Warning,High internal resistance
9/3/2025 16:36,CH5,CELL38,Recharge,324.41,4.02,322.46,30.78,31.23,77.91,36.88,34.22,35.376,24.12,3.34,97.33,36.2,False,Critical,9.99,115.68,0.251,Watch,Normal operation
9/3/2025 16:37,CH8,CELL11,Parameter_Config,381.44,4.751,380.93,115.14,114.28,56.27,41.88,40.82,40.384,20.02,2.91,87.21,13.92,False,Critical,43.92,110.67,0.268,Watch,Normal operation
9/3/2025 16:38,CH9,CELL27,Handshake,357.13,4.486,356.6,71.39,71.3,53.86,60.05,56.2,58.55,34.27,10.88,87.8,18.47,False,Warning,25.5,94.32,0.518,Warning,Rapid temp rise; High internal resistance
9/3/2025 16:39,CH9,CELL39,Handshake,337.95,4.234,339.15,28.93,28.97,84.17,38.08,36.53,36.583,21.04,6.48,80.74,45.88,False,Warning,9.78,102.41,0.32,Watch,Normal operation
9/3/2025 16:40,CH5,CELL24,Parameter_Config,347.39,4.381,346.0,120.06,120.97,39.56,49.2,46.28,47.698,24.38,3.4,87.52,32.92,True,OK,41.71,92.74,0.514,Warning,Moisture detected
9/3/2025 16:41,CH6,CELL5,Parameter_Config,353.4,4.451,353.84,6.35,6.74,99.95,42.8,38.93,41.296,28.71,9.19,88.23,30.41,False,Warning,2.24,102.33,0.398,Watch,Normal operation
9/3/2025 16:42,CH1,CELL36,Recharge,369.31,4.662,367.67,48.15,48.25,54.76,51.99,48.51,50.488,28.74,13.18,80.75,31.51,False,Critical,17.78,110.45,0.524,Warning,High internal resistance
9/3/2025 16:43,CH2,CELL32,End_Of_Charge,372.05,4.638,373.39,29.78,29.7,18.74,32.71,31.64,31.212,20.46,5.74,80.07,37.55,True,OK,11.08,106.71,0.478,Watch,Moisture detected
9/3/2025 16:44,CH9,CELL8,Recharge,305.8,3.871,303.9,110.53,110.57,97.8,59.19,55.71,57.691,25.72,12.35,83.75,23.49,False,Critical,33.8,109.16,0.543,Warning,High internal resistance
9/3/2025 16:45,CH7,CELL7,Parameter_Config,382.18,4.775,380.7,38.03,38.96,66.9,48.95,47.65,47.449,29.67,9.8,92.53,5.02,False,Critical,14.54,116.95,0.441,Watch,Normal operation
9/3/2025 16:46,CH10,CELL19,Parameter_Config,311.47,3.883,312.0,100.61,100.6,49.17,53.64,52.32,52.138,30.94,5.15,92.66,46.25,False,Critical,31.34,91.26,0.371,Watch,Normal operation
9/3/2025 16:47,CH9,CELL47,Parameter_Config,389.1,4.848,387.63,8.28,9.26,77.52,39.47,36.6,37.968,32.06,3.78,93.65,48.54,False,OK,3.22,116.32,0.273,Watch,Normal operation
9/3/2025 16:48,CH5,CELL32,Recharge,311.21,3.893,311.0,106.73,106.91,25.51,59.07,56.72,57.572,21.62,14.64,83.24,29.17,False,OK,33.22,116.6,0.588,Warning,High internal resistance
9/3/2025 16:49,CH4,CELL28,Handshake,349.83,4.406,348.72,24.96,24.75,7.18,40.93,37.27,39.426,30.14,1.92,81.15,45.24,False,Warning,8.73,108.31,0.243,Watch,Normal operation
9/3/2025 16:50,CH9,CELL31,Parameter_Config,367.95,4.596,367.89,90.25,89.31,61.98,48.93,46.38,47.428,21.61,7.51,89.72,21.0,True,Critical,33.21,115.0,0.595,Warning,Moisture detected
9/3/2025 16:51,CH4,CELL48,Parameter_Config,325.72,4.031,327.33,118.24,117.71,68.39,58.32,57.21,56.819,33.26,5.68,85.89,7.4,False,Critical,38.51,110.66,0.405,Watch,Normal operation
9/3/2025 16:52,CH8,CELL7,Recharge,304.51,3.825,306.02,79.12,78.61,67.91,52.94,50.83,51.44,30.83,7.83,81.89,20.75,False,Warning,24.09,104.6,0.421,Watch,Normal operation
9/3/2025 16:53,CH1,CELL30,Recharge,367.67,4.635,365.71,94.83,95.51,69.87,45.29,43.07,43.795,21.27,6.58,99.04,15.54,False,Critical,34.87,94.75,0.358,Watch,Normal operation
9/3/2025 16:54,CH4,CELL5,Handshake,305.6,3.843,305.34,75.85,76.51,51.15,51.29,49.73,49.788,27.64,8.74,82.06,8.27,True,OK,23.18,119.54,0.631,Warning,Moisture detected
9/3/2025 16:55,CH10,CELL43,Parameter_Config,332.36,4.114,330.88,41.4,41.34,90.34,50.62,47.5,49.124,27.9,11.75,95.94,12.63,False,Critical,13.76,101.32,0.488,Watch,High internal resistance
9/3/2025 16:56,CH4,CELL12,End_Of_Charge,327.47,4.049,328.18,115.37,114.79,38.68,52.77,50.08,51.268,26.59,3.34,91.23,30.3,False,Critical,37.78,111.98,0.331,Watch,Normal operation
9/3/2025 16:57,CH7,CELL31,Handshake,345.77,4.366,346.18,30.0,30.59,88.51,39.28,36.68,37.778,24.07,8.18,94.61,0.51,False,OK,10.37,90.26,0.36,Watch,Normal operation
9/3/2025 16:58,CH5,CELL25,Bulk,379.4,4.783,379.25,27.5,26.8,38.68,44.58,40.94,43.08,27.06,7.31,89.45,18.97,False,Critical,10.43,99.47,0.369,Watch,Normal operation
9/3/2025 16:59,CH5,CELL11,Bulk,350.11,4.405,348.59,60.37,60.1,27.04,43.88,41.73,42.382,21.51,9.12,95.7,48.25,True,Critical,21.13,109.51,0.602,Warning,Moisture detected
9/3/2025 17:00,CH1,CELL48,Parameter_Config,362.09,4.569,364.04,8.99,9.75,76.42,40.49,37.13,38.986,27.15,9.1,96.85,47.71,True,OK,3.26,109.27,0.584,Warning,Moisture detected
9/3/2025 17:01,CH2,CELL50,End_Of_Charge,318.18,3.936,316.7,90.49,89.66,9.6,52.78,50.78,51.276,31.96,5.55,81.29,14.64,False,Critical,28.79,101.31,0.375,Watch,Normal operation
9/3/2025 17:02,CH10,CELL9,Parameter_Config,322.96,4.035,323.58,103.85,103.86,84.85,56.91,52.98,55.407,25.62,10.95,83.69,22.41,False,OK,33.54,110.32,0.503,Warning,High internal resistance
9/3/2025 17:03,CH1,CELL37,Parameter_Config,395.35,4.973,396.5,6.05,5.22,77.18,44.68,42.84,43.18,30.33,7.04,90.47,25.78,False,Warning,2.39,92.98,0.364,Watch,Normal operation
9/3/2025 17:04,CH7,CELL8,Handshake,303.32,3.769,302.38,90.34,90.55,7.48,47.56,45.1,46.065,26.62,4.72,94.53,34.03,True,Warning,27.4,105.22,0.532,Warning,Moisture detected
9/3/2025 17:05,CH8,CELL38,Bulk,348.84,4.345,349.4,110.53,110.94,13.18,60.84,59.62,59.341,31.98,9.62,81.21,8.45,False,Critical,38.56,105.76,0.497,Watch,Rapid temp rise
9/3/2025 17:06,CH7,CELL39,Bulk,372.85,4.692,374.52,110.9,110.98,92.16,53.98,50.99,52.482,22.18,11.97,90.33,8.34,False,Warning,41.35,114.57,0.509,Warning,High internal resistance
9/3/2025 17:07,CH3,CELL50,End_Of_Charge,338.75,4.19,339.27,6.66,6.23,85.41,47.13,43.92,45.634,34.62,6.54,87.36,0.88,False,Warning,2.26,95.94,0.366,Watch,Normal operation
9/3/2025 17:08,CH4,CELL29,Bulk,323.88,4.038,324.34,96.04,95.9,38.38,62.97,61.73,61.466,26.83,14.51,97.06,46.55,False,Critical,31.11,93.77,0.605,Warning,Rapid temp rise; High internal resistance
9/3/2025 17:09,CH2,CELL6,Recharge,339.64,4.243,338.84,40.83,40.87,48.88,50.42,46.91,48.923,32.5,6.86,82.04,28.18,False,OK,13.87,107.13,0.389,Watch,Normal operation
9/3/2025 17:10,CH10,CELL25,Recharge,397.66,5.006,397.6,86.82,87.45,28.72,45.22,42.62,43.725,23.05,6.03,87.36,19.49,False,OK,34.52,103.29,0.347,Watch,Normal operation
9/3/2025 17:11,CH1,CELL22,End_Of_Charge,318.1,3.979,318.56,32.29,32.69,37.07,41.84,39.54,40.339,24.72,9.39,85.76,4.49,True,OK,10.27,104.01,0.597,Warning,Moisture detected
9/3/2025 17:12,CH6,CELL8,Parameter_Config,363.46,4.499,363.55,82.62,83.4,3.26,53.36,49.49,51.859,26.19,8.37,93.18,30.36,False,Warning,30.03,117.72,0.434,Watch,Normal operation
9/3/2025 17:13,CH3,CELL12,Recharge,398.46,4.955,398.03,56.47,55.99,84.73,51.43,49.79,49.931,30.07,7.27,85.79,24.85,False,Critical,22.5,103.42,0.403,Watch,Normal operation
9/3/2025 17:14,CH9,CELL22,End_Of_Charge,341.87,4.28,340.76,54.69,54.78,29.59,48.36,44.96,46.863,26.62,8.36,93.74,26.46,False,OK,18.7,103.49,0.409,Watch,Normal operation
9/3/2025 17:15,CH6,CELL1,Recharge,313.58,3.873,315.4,91.38,90.7,35.74,51.04,48.55,49.54,21.42,9.81,95.27,28.08,False,Critical,28.66,92.32,0.451,Watch,Normal operation
9/3/2025 17:16,CH8,CELL26,End_Of_Charge,307.05,3.824,308.6,19.82,20.01,74.74,35.21,33.13,33.711,21.96,8.51,94.01,35.72,False,Warning,6.09,117.51,0.346,Watch,Normal operation
9/3/2025 17:17,CH10,CELL4,Parameter_Config,367.65,4.59,368.46,96.55,96.32,29.52,48.11,45.47,46.612,26.63,5.26,92.88,42.68,False,Critical,35.5,114.67,0.346,Watch,Normal operation
9/3/2025 17:18,CH8,CELL12,Handshake,349.93,4.339,349.86,78.51,77.81,64.95,53.98,50.39,52.479,22.57,14.67,87.13,40.29,True,OK,27.47,95.81,0.763,Alarm,High internal resistance; Moisture detected
9/3/2025 17:19,CH3,CELL42,End_Of_Charge,332.34,4.138,331.91,9.07,8.16,55.87,37.48,36.05,35.975,25.97,4.88,85.0,35.52,False,OK,3.01,110.71,0.285,Watch,Normal operation
